trial,time_step,filter_error_rad,smoother_error_rad
0,0,1.4854754897626474,0.15605845478849023
0,1,0.018739552872074405,0.23751073573175407
0,2,0.32450229408096076,0.4595742960401026
0,3,0.20214020500167473,0.04029846262605341
0,4,0.13005398204016627,0.16245521471090463
0,5,0.1400779532857963,0.00925165736100153
0,6,0.5416146110058171,0.5724459585171253
0,7,0.3292753527695451,0.31001341624436085
0,8,0.07521253374096881,0.013859640789220418
0,9,0.06543790326666699,0.10358416204201815
0,10,0.3271712410509693,0.22453937975132598
0,11,0.13530723419070467,0.09354323480492743
0,12,0.17150996982133426,0.004600117184929253
0,13,0.26075473332596966,0.29598748513495154
0,14,0.0902761609789473,0.15922598352249784
0,15,0.29311718102832796,0.2681211322901853
0,16,0.08211069022246598,0.20630044083626053
0,17,0.15870323001637932,0.10392101645505347
0,18,0.13412620410120857,0.22998392575423043
0,19,0.0019962345619619626,0.0019962345619619626
1,0,1.08993938043265,0.28466949050124146
1,1,1.9589792159268624,0.23236655276786866
1,2,0.27883228489900347,0.34237225894672996
1,3,0.4430980826140001,0.28973112424226244
1,4,0.10988365354848995,0.13682266590001113
1,5,0.24984347075328994,0.073273936085541
1,6,0.2710673164430357,0.17063554089815014
1,7,0.11531586476368716,0.10962688346775451
1,8,0.23965870436379522,0.2643671574739592
1,9,0.23429709203907834,0.1809156183820262
1,10,0.05118541064747806,0.019246388254030578
1,11,0.06536287523992534,0.11386679770777342
1,12,0.6282481626576208,0.5429667914794329
1,13,0.051503924808424806,0.03184360292617061
1,14,0.4060293858478756,0.14666327790504052
1,15,1.6085551314111228,0.29259731581835835
1,16,0.7101978517505501,0.10017045899207488
1,17,0.36580315027695853,0.09357840597377542
1,18,0.21448808577872702,0.17412383271260579
1,19,0.13134696555287295,0.13134696555287295
2,0,0.2590974818094809,0.05294642106446101
2,1,0.06641805735196105,0.19450975168574303
2,2,0.18981017204103967,0.20043157825849356
2,3,0.13201520372121855,0.12096126831271281
2,4,0.4870578534912875,0.2580604353308784
2,5,0.2112416417083427,0.34642548690893804
2,6,0.5576770636405515,0.3244314477268171
2,7,0.18350976094331717,0.0016443885608055098
2,8,0.09416023633911141,0.03171498637891457
2,9,0.24984207161285266,0.10325544773200868
2,10,0.43138098338145525,0.2076997034138124
2,11,0.018819165943539495,0.11151512478464731
2,12,0.13595509897844948,0.04400131401905849
2,13,0.1169838958989331,0.23365511203154465
2,14,0.23631577565529494,0.3200936466261579
2,15,0.11315513163037938,0.24558776605584853
2,16,0.1346129445757498,0.06265621104184049
2,17,0.010623823233176566,0.0370924486986679
2,18,0.15619422672647332,0.07577484349182217
2,19,0.3759506408488136,0.3759506408488136
3,0,0.6053869163794481,0.16499167870763776
3,1,1.5135319130109375,0.023017422593726522
3,2,1.892742363364432,0.07520436434105493
3,3,1.6144644030848108,0.0563767288784458
3,4,0.6494311511499884,0.0033414548799699517
3,5,0.30280086654706917,0.3418866372349445
3,6,0.0237841866687738,0.1495919724136554
3,7,1.1036421736256372,0.18788789914252568
3,8,0.7326014798851768,0.13922689281316725
3,9,1.3629433457190627,0.18989076522988846
3,10,1.9608917946029507,0.17204985790261418
3,11,2.5211588923031574,0.024756688764194124
3,12,2.850532099367296,0.1379415319228272
3,13,2.492506683938523,0.09351720658961771
3,14,0.26845609751124044,0.6306332734774509
3,15,0.0526647906633686,0.06447600642941698
3,16,0.10835393725166664,0.056157125018673426
3,17,0.036839191889090905,0.023110209398215176
3,18,0.4769638865797332,0.35985701720090413
3,19,0.09310957096897265,0.09310957096897265
4,0,0.6059543035532857,0.18321420976526692
4,1,0.053956996653571565,0.17701361730305853
4,2,0.1917536397913957,0.24234625033328872
4,3,0.0747151953618701,0.12473162257304526
4,4,0.373677034155683,0.24831152007965063
4,5,0.33978810284303007,0.2164926200387418
4,6,0.1388326519283707,0.1527934153717032
4,7,0.3759480504339425,0.23741768166707233
4,8,0.14627547113624573,0.09604731785903109
4,9,0.12438220047518911,0.05777117265639076
4,10,0.16776023223927794,0.11498755903343971
4,11,0.28981181288989255,0.30018547678744767
4,12,0.05906656160873602,0.17926227208764045
4,13,0.2994732994811269,0.20045363036897967
4,14,0.023006031678663774,0.009371786356043188
4,15,0.226135558850725,0.12442979339198867
4,16,0.39918007469027117,0.2653176629286289
4,17,0.32600962805416067,0.20024837700554166
4,18,0.18736851386307407,0.2004649414059152
4,19,0.44518155885523125,0.44518155885523125
5,0,0.5015615806884117,0.13661729520858623
5,1,0.3076492579062817,0.11715757516511349
5,2,0.24343594771288402,0.029356678050942442
5,3,0.10573361016807992,0.16345284113487324
5,4,0.0210317128393549,0.058254796933369324
5,5,0.12346132390215292,0.10402939130184397
5,6,0.17832497823333604,0.24561039429198717
5,7,0.019566453142150664,0.01777329011329165
5,8,0.00023692553022547358,0.03700452075824057
5,9,0.09120833913437387,0.07229179419115361
5,10,0.061123523100302446,0.06204608504308373
5,11,0.4206719038528437,0.33533519743695006
5,12,0.10159982220635833,0.1520655940677358
5,13,0.49938290366450655,0.17223495053606008
5,14,1.2219574302704772,0.15323866364304362
5,15,0.9457598093144601,0.3930163816670933
5,16,0.07846361016964387,0.011450603845570395
5,17,0.27419842929189686,0.009392798512633416
5,18,0.08540311615663532,0.0440473832429622
5,19,0.24675230694823247,0.24675230694823247
6,0,0.0018802199661829277,0.026737914196634627
6,1,0.09111618625589912,0.26150683653188533
6,2,0.08682805527010018,0.05503878294029807
6,3,0.23216397202776484,0.21100991217605447
6,4,0.19946624326503137,0.16778955689918718
6,5,0.3151917617696238,0.1112498791402361
6,6,0.08930592863894393,0.029136554232749745
6,7,0.05113334113571799,0.03252758973146008
6,8,0.10052653804212763,0.1656691162260815
6,9,0.2108059776586737,0.2643435265880809
6,10,0.0021178794291563108,0.04486351034749614
6,11,0.12586891068573713,0.08688315820927439
6,12,0.15882150216908641,0.07688441444634186
6,13,0.0861678043459202,0.23751563593225544
6,14,0.010561354284769564,0.059737862121211016
6,15,0.09875287353978646,0.06638838071066644
6,16,0.21342716578510323,0.3039150018882779
6,17,0.2666780051043567,0.1785203636391266
6,18,0.27809412537623057,0.1691069076434344
6,19,0.4759703026169495,0.4759703026169495
7,0,0.8025755637957532,0.42702476688155855
7,1,0.08497823632288837,0.14580120935813978
7,2,0.03844746821540079,0.0008910812526266021
7,3,0.08183379640648702,0.013111618529975999
7,4,0.12551138957197772,0.11047906860561474
7,5,0.24013270650556562,0.29032410951030174
7,6,0.07341204661349332,0.01957172781137695
7,7,0.0806735820080764,0.1157279817844219
7,8,0.07645251022337529,0.00038340060466435233
7,9,0.032837462328561884,0.06521320716201995
7,10,0.2234033050938713,0.04218926473541229
7,11,0.24294100683852227,0.01877054247934007
7,12,0.7878304350183316,0.5210057869787894
7,13,0.3515731391941701,0.39581973535685133
7,14,0.13298432951924832,0.22637933360029594
7,15,0.011520289240507964,0.08078268855188675
7,16,0.41095801496557627,0.16900235728362478
7,17,0.12483585589726154,0.007260730563516837
7,18,0.4826809871325435,0.4586033515278034
7,19,0.4848576669915934,0.4848576669915934
8,0,0.6715814930407609,0.17516401204374787
8,1,0.20078963540912476,0.18253898774747324
8,2,0.24812761215752133,0.21911712967486174
8,3,0.054302258056119435,0.15334808366087405
8,4,0.03726196871658072,0.006224665898638904
8,5,0.12790905710880907,0.011747946555919597
8,6,0.31386907946207465,0.12747938434270667
8,7,0.24065090731909855,0.17711721038907147
8,8,0.14522946353675437,0.2086002231218882
8,9,0.05319622146588232,0.00675129616706549
8,10,0.06913426219812902,0.16887108333181056
8,11,0.02617671387684606,0.1935415910415652
8,12,0.07570227678441732,0.04883921680751513
8,13,0.08596554992095928,0.20430737524932985
8,14,0.19763512487612545,0.3174919014751527
8,15,0.364186323184962,0.20042379842862346
8,16,0.031975895412221345,0.02366442158138815
8,17,0.2810991926625692,0.1889030987877831
8,18,0.011104587542124733,0.13694646789210774
8,19,0.5416070005201288,0.5416070005201288
9,0,2.1000282266597807,0.16029676903940526
9,1,0.1870946549076864,0.008120857314197316
9,2,0.271571446659459,0.24158645645916854
9,3,0.176797420530451,0.0693126639670032
9,4,0.3619859528843752,0.31414565061110267
9,5,0.17864094567598388,0.1093282556577897
9,6,0.19378626251303288,0.15621586642601804
9,7,0.04317541100913713,0.015187836695809143
9,8,0.10557991336003658,0.060356404745017134
9,9,0.07743067666999481,0.11618268954874722
9,10,0.2861178326438951,0.22330219847757782
9,11,0.227594288469271,0.1899199949851682
9,12,0.22497577664491164,0.0836250048155378
9,13,0.22956105709548824,0.11886082765345529
9,14,0.31116080553532655,0.3160423427750012
9,15,0.3437580013385042,0.42464311033744595
9,16,0.15674020996748483,0.04093441762742067
9,17,0.16655833002208587,0.01969052992958531
9,18,0.4638690895632145,0.33982391959154956
9,19,0.3557898911357569,0.3557898911357569
10,0,0.4754176924152116,0.298715764388644
10,1,0.2557975108018127,0.17133245012069453
10,2,0.03803504688736803,0.17408585736135684
10,3,0.0733619266506862,0.06762164807608873
10,4,0.3850728078164485,0.2655289726149035
10,5,0.2456796566788899,0.11534937004786006
10,6,0.055543879376564576,0.0024977656945970317
10,7,0.00033376468260071235,0.163395828615013
10,8,0.08973203104080696,0.15853849612289395
10,9,0.9868006502383828,0.31012427832952216
10,10,1.67871410681167,0.17410365320867793
10,11,0.04515013213403307,0.15751970091747225
10,12,0.11231142777605907,0.04864632644582656
10,13,0.04368480521917917,0.15571474494200377
10,14,0.2549228899501301,0.2863261713830658
10,15,0.20569294507194869,0.03243509035199743
10,16,0.052450201151196474,0.29904298315674005
10,17,0.40803418800342595,0.2703224757824998
10,18,0.22320800638504146,0.2863483973008174
10,19,0.4539289239660622,0.4539289239660622
11,0,2.245000214324401,0.2855568116212206
11,1,2.0154475403641463,0.20976130076791488
11,2,0.07469465463568437,0.004640292683891101
11,3,0.23150509920647178,0.23328896594717818
11,4,0.22247737919838695,0.2655399511147065
11,5,0.034563883294838504,0.10991315129984613
11,6,0.025897456692387077,0.12951247695889911
11,7,0.06608523973121017,0.02192879992506036
11,8,0.1693027193254295,0.2607807772231405
11,9,0.12636637745661794,0.06031114700789342
11,10,0.2950742135128994,0.20448399626875258
11,11,0.011202350093123314,0.10309967318791369
11,12,0.28715500766977664,0.20816921651977482
11,13,0.2718381232244891,0.22713226141637222
11,14,0.03881446551830958,0.09496935727185951
11,15,0.4947374574821479,0.32055197809307945
11,16,0.8719314428420288,0.4680907380537116
11,17,0.12700543602063696,0.13635888203537228
11,18,0.09833232208922471,0.02768332794592121
11,19,0.05669481973930246,0.05669481973930246
12,0,0.14687627456130947,0.0028051528723458397
12,1,0.2226252840247125,0.13458708926815444
12,2,0.18456323043175216,0.3434371281224453
12,3,0.35130791683134843,0.2830286483524538
12,4,0.12706259428437994,0.22009734486649668
12,5,0.07497834476556076,0.032063490269339745
12,6,0.027324647736596486,0.03623245502066785
12,7,0.11031734343965205,0.14654816754325983
12,8,0.2663706436094384,0.27468765944191365
12,9,0.061325935916955565,0.010360626393435268
12,10,0.30782342369187354,0.2396413151758363
12,11,0.27629611412026733,0.18556350926775922
12,12,0.35306004739335517,0.14067648325344173
12,13,0.7811119557717587,0.6148698996602127
12,14,0.41668766775295296,0.16119440540204266
12,15,0.15663385334695157,0.20508810738394168
12,16,0.0766916158956521,0.11771808021367569
12,17,0.14771641610401876,0.0002531580447646675
12,18,0.14915975912292812,0.0917548720823893
12,19,0.08744141727234078,0.08744141727234034
13,0,0.07837860014372566,0.0819569932344999
13,1,0.4662961893421489,0.37223930465875466
13,2,0.5340822506716432,0.434945097204797
13,3,0.2641265203337406,0.20548696229989627
13,4,0.39571465377684056,0.30248987303010644
13,5,0.13813448446475984,0.2707651839923013
13,6,0.20985947363138013,0.18854631384763731
13,7,0.10357787750108738,0.014173882515605918
13,8,0.22015930040074938,0.24947544425188095
