n runtime_mean_ms runtime_median_ms runtime_q25_ms runtime_q75_ms runtime_err_low_ms runtime_err_high_ms mean_error mean_error_q25 mean_error_q75 mean_error_err_low mean_error_err_high l1_error l1_error_q25 l1_error_q75 l1_error_err_low l1_error_err_high
15 1.71455796667 1.44153400004 1.41632175007 1.51306599997 0.025212249966 0.0715319999358 0.000371273275191 0.000371273275191 0.000371273275191 0 0 0.0525055170261 0.0525055170261 0.0525055170261 0 0
31 1.43484976667 1.43019799998 1.40814425004 1.45113425003 0.0220537499445 0.0209362500527 0.000370427353598 0.000370427353598 0.000370427353598 0 0 0.000113813739501 0.000113813739501 0.000113813739501 0 0
63 1.46227926667 1.45780899993 1.43512725001 1.47384724997 0.0226817499254 0.0160382500383 0.000370427352212 0.000370427352212 0.000370427352212 0 0 0.000109729327072 0.000109729327072 0.000109729327072 0 0
127 1.77473806667 1.76168500002 1.75200449996 1.769803 0.00968050005667 0.00811799998246 0.000370427352212 0.000370427352212 0.000370427352212 0 0 0.000109729327062 0.000109729327062 0.000109729327062 0 0
255 1.7684049 1.68620850002 1.67548574996 1.73987099996 0.0107227500621 0.053662499937 0.000370427352212 0.000370427352212 0.000370427352212 0 0 0.000109729327062 0.000109729327062 0.000109729327062 0 0
511 2.2144674 2.19277849999 2.17843725002 2.20987825008 0.0143412499654 0.0170997500959 0.000370427352212 0.000370427352212 0.000370427352212 0 0 0.000109729327062 0.000109729327062 0.000109729327062 0 0
1023 2.52187300002 2.46315600003 2.44381725003 2.47649800005 0.0193387500076 0.0133420000168 0.000370427352212 0.000370427352212 0.000370427352212 0 0 0.000109729327062 0.000109729327062 0.000109729327062 0 0
2047 4.68563960001 4.43443399996 4.41055100003 4.48894600004 0.0238829999262 0.0545120000766 0.000370427352212 0.000370427352212 0.000370427352212 0 0 0.000109729327062 0.000109729327062 0.000109729327062 0 0
4095 5.43368926665 5.35486549995 5.27701474999 5.40208449999 0.0778507499604 0.047219000038 0.000370427352212 0.000370427352212 0.000370427352212 0 0 0.000109729327062 0.000109729327062 0.000109729327062 0 0
