n runtime_mean_ms runtime_median_ms runtime_q25_ms runtime_q75_ms runtime_err_low_ms runtime_err_high_ms mean_error mean_error_q25 mean_error_q75 mean_error_err_low mean_error_err_high l1_error l1_error_q25 l1_error_q75 l1_error_err_low l1_error_err_high
100 6.8713573 5.81274450002 4.72535425004 7.00025299997 1.08739024998 1.18750849995 0.0475670919341 0.0356489066549 0.0559795340881 0.0119181852792 0.00841244215404 0.414147195376 0.396422858157 0.429867908065 0.0177243372191 0.0157207126891
300 15.1249285667 11.39165 9.23198150005 18.2189605001 2.15966849996 6.82731050009 0.0265283444144 0.0205056970922 0.0307568129517 0.00602264732223 0.00422846853723 0.301881798479 0.288971909871 0.314278462771 0.0129098886085 0.0123966642919
1000 30.5596149 22.385875 20.62654225 47.50768075 1.75933275 25.12180575 0.0155259300385 0.0133580832746 0.0176820173513 0.00216784676386 0.00215608731288 0.207463092518 0.197318268322 0.215315860427 0.0101448241956 0.007852767909
3000 62.8019627333 62.2506705 46.06700075 73.2933215 16.18366975 11.0426509999 0.0096875796108 0.0073880981692 0.0119983387562 0.00229948144161 0.00231075914539 0.145103503365 0.141782901155 0.150320013265 0.00332060220921 0.00521650990046
10000 138.655515567 133.451037 121.100554 148.9954725 12.350483 15.5444355 0.00535434432443 0.00466196670505 0.00620845852119 0.000692377619384 0.000854114196756 0.0950043852121 0.0918633563573 0.0984417038777 0.00314102885479 0.00343731866558
