n runtime_mean_ms runtime_median_ms runtime_q25_ms runtime_q75_ms runtime_err_low_ms runtime_err_high_ms mean_error mean_error_q25 mean_error_q75 mean_error_err_low mean_error_err_high l1_error l1_error_q25 l1_error_q75 l1_error_err_low l1_error_err_high
15 1.0990028 1.08895799997 1.08551425006 1.09558074999 0.00344374990391 0.00662275002128 0.00321921091174 0.00321921091174 0.00321921091174 0 0 0.243923739889 0.243923739889 0.243923739889 0 0
31 1.13845783334 1.12771599998 1.12174450001 1.13744900005 0.00597149997361 0.0097330000699 0.000908980771971 0.000908980771971 0.000908980771971 0 0 0.115319887335 0.115319887335 0.115319887335 0 0
63 1.1455581 1.1408355 1.13664975004 1.15112675002 0.0041857499582 0.0102912500211 0.000451712652567 0.000451712652567 0.000451712652567 0 0 0.0570246503847 0.0570246503847 0.0570246503847 0 0
127 1.44657463334 1.44457449994 1.42675650002 1.4541255 0.0178179999182 0.00955100006195 0.000383295959423 0.000383295959423 0.000383295959423 0 0 0.028320559521 0.028320559521 0.028320559521 0 0
255 1.34119853334 1.33543449999 1.32795850004 1.35217924998 0.00747599995066 0.0167447499848 0.000373614977072 0.000373614977072 0.000373614977072 0 0 0.0140999756978 0.0140999756978 0.0140999756978 0 0
511 1.8788216 1.85653249997 1.83760725005 1.87832374999 0.0189252499183 0.0217912500204 0.000371220874118 0.000371220874118 0.000371220874118 0 0 0.00703687127896 0.00703687127896 0.00703687127896 0 0
1023 2.32011613334 2.08907450002 2.06299525001 2.11732924996 0.0260792500058 0.0282547499353 0.000370625328368 0.000370625328368 0.000370625328368 0 0 0.00351558706513 0.00351558706513 0.00351558706513 0 0
2047 4.05976833334 4.03568049995 4.01952050001 4.06109600002 0.0161599999444 0.0254155000619 0.000370476796867 0.000370476796867 0.000370476796867 0 0 0.00175823057852 0.00175823057852 0.00175823057852 0 0
4095 4.41026823333 4.3092235 4.30346825004 4.35016349999 0.00575524995838 0.040939999991 0.000370439707274 0.000370439707274 0.000370439707274 0 0 0.000881256086747 0.000881256086747 0.000881256086747 0 0
