run,seed,time_step,moment_real,moment_imag,moment_magnitude,mean_direction_rad
0,1641411168,0,0.5956880657982113,0.5596028949481253,0.8173124688689979,0.7541736113478966
0,1641411168,1,0.4662714111626739,0.7471793222426498,0.8807303608111945,1.0128860792794938
0,1641411168,2,0.1869841380545132,0.8990906037131547,0.9183283626074468,1.3657488997524427
0,1641411168,3,-0.17464081730346842,0.9196319586261141,0.9360674945723338,1.7584645982973848
0,1641411168,4,-0.5254674095858991,0.7833681493268413,0.9432823839745315,2.1616409745883964
0,1641411168,5,-0.7954073591842368,0.5078043452240055,0.9436832731763461,2.5734008135489987
0,1641411168,6,-0.9329541263481089,0.1449560970927011,0.9441481197112621,2.9874518994633723
0,1641411168,7,-0.9171539794691892,-0.21290628808730955,0.9415415601890796,3.369690670608569
0,1641411168,8,-0.8040605742593425,-0.4524912393482057,0.9226384604844624,3.65417781472149
1,1454127163,0,0.5956417861287697,0.559711116589677,0.8173528438910175,0.75430888104586
1,1454127163,1,0.46705821716630824,0.7463037706194526,0.8804048479326899,1.0116014119243475
1,1454127163,2,0.1861772109313208,0.8991517570072687,0.9182242841481725,1.3666228418058315
1,1454127163,3,-0.17486803203678164,0.9196481777698026,0.9361258459757081,1.7586998223343493
1,1454127163,4,-0.5253800565183652,0.7834988662384186,0.9433422905733252,2.1614868824245166
1,1454127163,5,-0.7951488013710404,0.5082394590129427,0.9436996153541501,2.5728647542429246
1,1454127163,6,-0.9327255445778204,0.1454154167394161,0.9439928945354884,2.986933920669814
1,1454127163,7,-0.9170038054898342,-0.2129151573418531,0.9413972825055019,3.3697359199942425
1,1454127163,8,-0.8042087714867749,-0.4520297750319897,0.9225414167676913,3.653663108962291
2,2749604155,0,0.5950797061726953,0.5595398602555468,0.816825998553779,0.7546273109631553
2,2749604155,1,0.4659486322160657,0.747213753142716,0.8805887353070366,1.0132177460675842
2,2749604155,2,0.18644930385850378,0.8991849279087448,0.9183119717653556,1.3663400233216023
2,2749604155,3,-0.17466052341085658,0.9195456369962177,0.9359863657964972,1.7585024888207823
2,2749604155,4,-0.5249082461720839,0.7836338612969471,0.9431917596494448,2.1609917036931043
2,2749604155,5,-0.7945586886178668,0.5087936168649657,0.9435011681077442,2.5720330248482046
2,2749604155,6,-0.9326400774191996,0.14586765573224086,0.9439782237940186,2.986446614123415
2,2749604155,7,-0.9170299433513873,-0.2126949128775618,0.9413729563605714,3.3695017417399127
2,2749604155,8,-0.8037898053311031,-0.4525267073211027,0.9224199000417822,3.6543552862908135
