method,parameter,n_repetitions,runtime_s_mean,mean_error_rad_mean,max_mean_error_rad_mean,l1_error_mean,max_l1_error_mean,min_evaluated_density_mean,max_normalization_error_mean,runtime_s_std,mean_error_rad_std,max_mean_error_rad_std,l1_error_std,max_l1_error_std,min_evaluated_density_std,max_normalization_error_std,runtime_s_median,mean_error_rad_median,max_mean_error_rad_median,l1_error_median,max_l1_error_median,min_evaluated_density_median,max_normalization_error_median,runtime_s_q25,mean_error_rad_q25,max_mean_error_rad_q25,l1_error_q25,max_l1_error_q25,min_evaluated_density_q25,max_normalization_error_q25,runtime_s_q75,mean_error_rad_q75,max_mean_error_rad_q75,l1_error_q75,max_l1_error_q75,min_evaluated_density_q75,max_normalization_error_q75
FIGFDN,31,30,0.001434849766667412,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16,3.374526316415901e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0014301979999800096,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16,0.0014081442500355479,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16,0.0014511342500327373,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFDN,63,30,0.0014622792666690052,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16,3.398108108079783e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0014578089999304211,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16,0.0014351272500050527,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16,0.001473847249968685,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFDN,127,30,0.0017747380666681542,0.0003704273522117478,0.0008321199856204942,0.00010972932705563391,0.00011680771642948221,4.3487822923032e-06,1.1102230246251565e-16,6.04030996391257e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0017616850000194972,0.0003704273522117478,0.0008321199856204942,0.00010972932705563391,0.00011680771642948221,4.3487822923032e-06,1.1102230246251565e-16,0.0017520044999628226,0.0003704273522117478,0.0008321199856204942,0.00010972932705563391,0.00011680771642948221,4.3487822923032e-06,1.1102230246251565e-16,0.0017698030000019571,0.0003704273522117478,0.0008321199856204942,0.00010972932705563391,0.00011680771642948221,4.3487822923032e-06,1.1102230246251565e-16
FIGFDN,255,30,0.0017684049000043463,0.0003704273522117478,0.0008321199856204942,0.00010972932706220229,0.0001168077164294943,4.3487822923542405e-06,3.3306690738754696e-16,0.0002039778849583275,0.0,0.0,0.0,0.0,0.0,0.0,0.001686208500018438,0.0003704273522117478,0.0008321199856204942,0.00010972932706220229,0.0001168077164294943,4.3487822923542405e-06,3.3306690738754696e-16,0.0016754857499563514,0.0003704273522117478,0.0008321199856204942,0.00010972932706220229,0.0001168077164294943,4.3487822923542405e-06,3.3306690738754696e-16,0.0017398709999554285,0.0003704273522117478,0.0008321199856204942,0.00010972932706220229,0.0001168077164294943,4.3487822923542405e-06,3.3306690738754696e-16
FIGFDN,511,30,0.0022144673999984358,0.0003704273522116984,0.0008321199856204942,0.00010972932706196419,0.00011680771642930043,4.348782292354544e-06,3.3306690738754696e-16,6.794102433995349e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00219277849998889,0.0003704273522116984,0.0008321199856204942,0.00010972932706196419,0.00011680771642930043,4.348782292354544e-06,3.3306690738754696e-16,0.002178437250023535,0.0003704273522116984,0.0008321199856204942,0.00010972932706196419,0.00011680771642930043,4.348782292354544e-06,3.3306690738754696e-16,0.0022098782500847847,0.0003704273522116984,0.0008321199856204942,0.00010972932706196419,0.00011680771642930043,4.348782292354544e-06,3.3306690738754696e-16
FIGFDN,1023,30,0.0025218730000233338,0.0003704273522117478,0.0008321199856204942,0.00010972932706216136,0.00011680771642940843,4.34878229235432e-06,1.1102230246251565e-16,0.0002623320332354875,0.0,0.0,0.0,0.0,0.0,0.0,0.0024631560000329955,0.0003704273522117478,0.0008321199856204942,0.00010972932706216136,0.00011680771642940843,4.34878229235432e-06,1.1102230246251565e-16,0.002443817250025404,0.0003704273522117478,0.0008321199856204942,0.00010972932706216136,0.00011680771642940843,4.34878229235432e-06,1.1102230246251565e-16,0.002476498000049787,0.0003704273522117478,0.0008321199856204942,0.00010972932706216136,0.00011680771642940843,4.34878229235432e-06,1.1102230246251565e-16
FIGFDN,2047,30,0.004685639600014232,0.0003704273522117971,0.0008321199856204942,0.00010972932706219922,0.00011680771642945264,4.348782292355089e-06,2.220446049250313e-16,0.0008108195258832388,0.0,0.0,0.0,0.0,0.0,0.0,0.004434433999961129,0.0003704273522117971,0.0008321199856204942,0.00010972932706219922,0.00011680771642945264,4.348782292355089e-06,2.220446049250313e-16,0.004410551000034957,0.0003704273522117971,0.0008321199856204942,0.00010972932706219922,0.00011680771642945264,4.348782292355089e-06,2.220446049250313e-16,0.004488946000037686,0.0003704273522117971,0.0008321199856204942,0.00010972932706219922,0.00011680771642945264,4.348782292355089e-06,2.220446049250313e-16
FIGFDN,4095,30,0.0054336892666507685,0.0003704273522117478,0.0008321199856204942,0.00010972932706216558,0.0001168077164294936,4.348782292354783e-06,3.3306690738754696e-16,0.00025734866555242547,0.0,0.0,0.0,0.0,0.0,0.0,0.005354865499953121,0.0003704273522117478,0.0008321199856204942,0.00010972932706216558,0.0001168077164294936,4.348782292354783e-06,3.3306690738754696e-16,0.005277014749992759,0.0003704273522117478,0.0008321199856204942,0.00010972932706216558,0.0001168077164294936,4.348782292354783e-06,3.3306690738754696e-16,0.005402084499991133,0.0003704273522117478,0.0008321199856204942,0.00010972932706216558,0.0001168077164294936,4.348782292354783e-06,3.3306690738754696e-16
PF,100,30,0.006871357300000606,0.04756709193410254,0.11978082269931446,0.414147195375979,0.5015501635887675,7.872292995371834e-09,2.7015426932545474e-16,0.0033011038307941398,0.013272591978256155,0.042895976510741576,0.019681826476486107,0.04116574259629594,2.9801779795729098e-08,1.0984414918132868e-16,0.005812744500019562,0.0483562326951787,0.1179118595391404,0.4153955521477032,0.49257633685438185,4.2042593209559604e-10,3.3306690738754696e-16,0.004725354250041391,0.03564890665489347,0.07948418356959508,0.3964228581568563,0.46872139361615045,2.0118226544920475e-10,2.220446049250313e-16,0.007000252999972645,0.05597953408814076,0.1509746503470848,0.429867908065094,0.5297553287384373,6.9923225850809e-10,3.3306690738754696e-16
PF,300,30,0.015124928566672224,0.02652834441441833,0.059964446528083484,0.3018817984790363,0.3605050582847026,3.0877216404890453e-09,2.886579864025407e-16,0.00892595205588874,0.00942667409441702,0.02503228884227672,0.015083815926019449,0.021153118017037804,1.397306004512395e-08,1.0175362097255203e-16,0.011391650000007303,0.025157308091009516,0.05219354380507468,0.3062891279403247,0.35867256612340637,6.636314589212613e-13,3.3306690738754696e-16,0.009231981500050779,0.020505697092184333,0.04317114790372811,0.2889719098705387,0.3450223161338265,1.3184567793131177e-13,2.220446049250313e-16,0.018218960500092862,0.030756812951650545,0.07113590034542316,0.3142784627709209,0.37912940352991786,3.378787643909084e-12,3.3306690738754696e-16
PF,1000,30,0.030559614899997693,0.015525930038459923,0.03641982681024444,0.20746309251805933,0.2539601591966696,5.1818136568128206e-11,2.923587298179579e-16,0.01511134235023147,0.003538438765755634,0.0107672468448402,0.011320230695547545,0.018100574263531587,2.7554391743425593e-10,9.281417267329415e-17,0.022385874999997668,0.014930146127404953,0.03510155638742796,0.20891345944547132,0.2553671646258975,1.6240966582429974e-17,3.3306690738754696e-16,0.020626542249999602,0.013358083274595695,0.03010781455533107,0.19731826832247232,0.24466486652919145,0.0,2.220446049250313e-16,0.04750768075001588,0.017682017351335073,0.04128965763395476,0.2153158604270632,0.26487599841159126,1.537752232713221e-14,3.3306690738754696e-16
PF,3000,30,0.06280196273332497,0.009687579610803868,0.021414642213176002,0.14510350336464492,0.17554533876350314,5.931966327522083e-12,2.886579864025407e-16,0.018267193751535654,0.003603865195764485,0.00803902810022164,0.006250176679396087,0.014717084716806404,2.4104284022528727e-11,9.763231673693173e-17,0.06225067050002053,0.009879284737381644,0.020134125936886127,0.14454405211714452,0.17403980917377226,6.849592054377195e-16,3.3306690738754696e-16,0.04606700075001413,0.007388098169197844,0.015958932052400954,0.1417829011554308,0.16647463312947486,0.0,2.220446049250313e-16,0.07329332149996048,0.01199833875619126,0.026027332230908917,0.15032001326510347,0.18163494343717818,4.460905170872371e-14,3.3306690738754696e-16
PF,10000,30,0.13865551556669212,0.005354344324433417,0.012807064727990876,0.09500438521208872,0.11607648409467784,3.9351365841840616e-13,2.7015426932545474e-16,0.02413885660505564,0.0019002111193290527,0.004880426324816999,0.004969209531341976,0.006904724888816651,1.5766490905484728e-12,1.0603776214049771e-16,0.13345103700004302,0.005302389757276002,0.012280678199503958,0.0951694534870278,0.11500562160658472,1.310500176697174e-16,3.3306690738754696e-16,0.12110055400006559,0.004661966705049616,0.009617745882391504,0.09186335635729537,0.11189252048620532,0.0,1.3877787807814457e-16,0.1489954725000473,0.006208458521189897,0.015428570418429821,0.09844170387766454,0.12022070835896904,1.778047112310671e-14,3.3306690738754696e-16
PWC,15,30,0.001099002799999956,0.003219210911741587,0.007073302812469873,0.24392373988896818,0.2628110618191873,8.828485952648705e-06,7.184253192349388e-13,3.620362048365484e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0010889579999684429,0.003219210911741587,0.007073302812469873,0.24392373988896818,0.2628110618191873,8.828485952648705e-06,7.184253192349388e-13,0.0010855142500645343,0.003219210911741587,0.007073302812469873,0.24392373988896818,0.2628110618191873,8.828485952648705e-06,7.184253192349388e-13,0.0010955807499897219,0.003219210911741587,0.007073302812469873,0.24392373988896818,0.2628110618191873,8.828485952648705e-06,7.184253192349388e-13
PWC,31,30,0.0011384578333377248,0.0009089807719709538,0.0019831592170493906,0.11531988733527489,0.12281483268223542,4.958006896828279e-06,1.7916779171400776e-12,4.348349589026555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0011277159999849573,0.0009089807719709538,0.0019831592170493906,0.11531988733527489,0.12281483268223542,4.958006896828279e-06,1.7916779171400776e-12,0.0011217445000113457,0.0009089807719709538,0.0019831592170493906,0.11531988733527489,0.12281483268223542,4.958006896828279e-06,1.7916779171400776e-12,0.0011374490000548576,0.0009089807719709538,0.0019831592170493906,0.11531988733527489,0.12281483268223542,4.958006896828279e-06,1.7916779171400776e-12
PWC,63,30,0.0011455580999988038,0.0004517126525672093,0.0010119935502896915,0.05702465038468046,0.06072703335233439,4.496659652123995e-06,8.452127886471317e-13,1.5847469686156104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0011408354999957737,0.0004517126525672093,0.0010119935502896915,0.05702465038468046,0.06072703335233439,4.496659652123995e-06,8.452127886471317e-13,0.0011366497500375772,0.0004517126525672093,0.0010119935502896915,0.05702465038468046,0.06072703335233439,4.496659652123995e-06,8.452127886471317e-13,0.0011511267500168287,0.0004517126525672093,0.0010119935502896915,0.05702465038468046,0.06072703335233439,4.496659652123995e-06,8.452127886471317e-13
PWC,127,30,0.0014465746333409393,0.000383295959423386,0.0008760841511881168,0.02832055952102168,0.030112870831021796,4.408245420527608e-06,8.623102232263591e-13,2.581288948636003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001444574499942064,0.000383295959423386,0.0008760841511881168,0.02832055952102168,0.030112870831021796,4.408245420527608e-06,8.623102232263591e-13,0.0014267565000238847,0.000383295959423386,0.0008760841511881168,0.02832055952102168,0.030112870831021796,4.408245420527608e-06,8.623102232263591e-13,0.001454125500004011,0.000383295959423386,0.0008760841511881168,0.02832055952102168,0.030112870831021796,4.408245420527608e-06,8.623102232263591e-13
PWC,255,30,0.001341198533335349,0.000373614977072112,0.0008430067157205734,0.014099975697845999,0.015007129340865653,4.363087045053543e-06,1.5221157667610896e-13,1.7700856465146783e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001335434499992516,0.000373614977072112,0.0008430067157205734,0.014099975697845999,0.015007129340865653,4.363087045053543e-06,1.5221157667610896e-13,0.0013279585000418592,0.000373614977072112,0.0008430067157205734,0.014099975697845999,0.015007129340865653,4.363087045053543e-06,1.5221157667610896e-13,0.0013521792499773255,0.000373614977072112,0.0008430067157205734,0.014099975697845999,0.015007129340865653,4.363087045053543e-06,1.5221157667610896e-13
PWC,511,30,0.0018788216000037512,0.0003712208741183017,0.0008348298975233703,0.007036871278955656,0.007490905619575288,4.3509589070435846e-06,3.672617765460018e-13,7.972038887821739e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0018565324999713084,0.0003712208741183017,0.0008348298975233703,0.007036871278955656,0.007490905619575288,4.3509589070435846e-06,3.672617765460018e-13,0.0018376072500529972,0.0003712208741183017,0.0008348298975233703,0.007036871278955656,0.007490905619575288,4.3509589070435846e-06,3.672617765460018e-13,0.0018783237499917504,0.0003712208741183017,0.0008348298975233703,0.007036871278955656,0.007490905619575288,4.3509589070435846e-06,3.672617765460018e-13
PWC,1023,30,0.0023201161333417986,0.0003706253283683027,0.0008327960696483672,0.00351558706513026,0.0037423622154290144,4.349693158526929e-06,1.1834977442504169e-13,0.0006277544801628483,0.0,0.0,0.0,0.0,0.0,0.0,0.0020890745000201605,0.0003706253283683027,0.0008327960696483672,0.00351558706513026,0.0037423622154290144,4.349693158526929e-06,1.1834977442504169e-13,0.00206299525001441,0.0003706253283683027,0.0008327960696483672,0.00351558706513026,0.0037423622154290144,4.349693158526929e-06,1.1834977442504169e-13,0.0021173292499554464,0.0003706253283683027,0.0008327960696483672,0.00351558706513026,0.0037423622154290144,4.349693158526929e-06,1.1834977442504169e-13
PWC,2047,30,0.004059768333343072,0.00037047679686658737,0.0008322888371603554,0.0017582305785227058,0.0018716624863867666,4.34900075246626e-06,9.392486788328824e-14,6.538814444882864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.004035680499953287,0.00037047679686658737,0.0008322888371603554,0.0017582305785227058,0.0018716624863867666,4.34900075246626e-06,9.392486788328824e-14,0.004019520500008866,0.00037047679686658737,0.0008322888371603554,0.0017582305785227058,0.0018716624863867666,4.34900075246626e-06,9.392486788328824e-14,0.004061096000015141,0.00037047679686658737,0.0008322888371603554,0.0017582305785227058,0.0018716624863867666,4.34900075246626e-06,9.392486788328824e-14
PWC,4095,30,0.004410268233334591,0.00037043970727420233,0.0008321621776183896,0.0008812560867469756,0.0009379830349668886,4.3488163987521205e-06,1.1146639167236572e-13,0.00031202414509068913,0.0,0.0,0.0,0.0,0.0,0.0,0.004309223500001735,0.00037043970727420233,0.0008321621776183896,0.0008812560867469756,0.0009379830349668886,4.3488163987521205e-06,1.1146639167236572e-13,0.004303468250043352,0.00037043970727420233,0.0008321621776183896,0.0008812560867469756,0.0009379830349668886,4.3488163987521205e-06,1.1146639167236572e-13,0.004350163499992732,0.00037043970727420233,0.0008321621776183896,0.0008812560867469756,0.0009379830349668886,4.3488163987521205e-06,1.1146639167236572e-13
