method,parameter,repetition,runtime_s
PWC,255,22,0.0013391119999823786
PWC,255,23,0.001323133000028065
PWC,255,24,0.001354850999973678
PWC,255,25,0.0013281309999229052
PWC,255,26,0.0013264479999861578
PWC,255,27,0.001353087999973468
PWC,255,28,0.0013358549999793468
PWC,255,29,0.0013281609999467037
PWC,511,0,0.001907728999981373
PWC,511,1,0.001832747999969797
PWC,511,2,0.0018546689999539012
PWC,511,3,0.0019951429999309767
PWC,511,4,0.0018639569999550076
PWC,511,5,0.0018598999999994703
PWC,511,6,0.002016072000060376
PWC,511,7,0.0018583959999887156
PWC,511,8,0.001874286000088432
PWC,511,9,0.0018689160000349148
PWC,511,10,0.0018005580000135524
PWC,511,11,0.001904332000094655
PWC,511,12,0.0019143609999900946
PWC,511,13,0.0018784239999831698
PWC,511,14,0.0018458219999502035
PWC,511,15,0.0018759590000172466
PWC,511,16,0.001837407000039093
PWC,511,17,0.001851785000098971
PWC,511,18,0.0018178499999521591
PWC,511,19,0.0018284600000697537
PWC,511,20,0.00190630700001293
PWC,511,21,0.0018443999999817606
PWC,511,22,0.0018780230000174924
PWC,511,23,0.0018511330000592352
PWC,511,24,0.00222885099992709
PWC,511,25,0.0018495000000484652
PWC,511,26,0.0018249829998921996
PWC,511,27,0.0018235009999898466
PWC,511,28,0.0018382080000947099
PWC,511,29,0.0018329679999169457
PWC,1023,0,0.0021613950000300974
PWC,1023,1,0.0021272699999599354
PWC,1023,2,0.0020732090000592507
PWC,1023,3,0.002102433999993991
PWC,1023,4,0.0020628400000077818
PWC,1023,5,0.002089540000042689
PWC,1023,6,0.00290576100007911
PWC,1023,7,0.0021079240000290156
PWC,1023,8,0.0021032460000469655
PWC,1023,9,0.0021139850000508886
PWC,1023,10,0.0025070930000765657
PWC,1023,11,0.004473191999977644
PWC,1023,12,0.004491805999919052
PWC,1023,13,0.0031395799999245355
PWC,1023,14,0.0021181029999297607
PWC,1023,15,0.0021150080000325033
PWC,1023,16,0.002064643000039723
PWC,1023,17,0.002088608999997632
PWC,1023,18,0.0020588930000258188
PWC,1023,19,0.0020601850000048216
PWC,1023,20,0.002065365000021302
PWC,1023,21,0.002065786000002845
PWC,1023,22,0.0020681299999978364
PWC,1023,23,0.0020576000000573913
PWC,1023,24,0.0020550650000359383
PWC,1023,25,0.0020634610000342946
PWC,1023,26,0.0021033159999888085
PWC,1023,27,0.0020583809999834557
PWC,1023,28,0.002052559999924597
PWC,1023,29,0.0020491039999797067
PWC,2047,0,0.0041838289999986955
PWC,2047,1,0.004040720000034526
PWC,2047,2,0.004032305000009728
PWC,2047,3,0.004032403999985945
PWC,2047,4,0.0040192200000319644
PWC,2047,5,0.004024219000029916
PWC,2047,6,0.004017417000000023
PWC,2047,7,0.004010654000012437
PWC,2047,8,0.004018879000000197
PWC,2047,9,0.004004251999958797
PWC,2047,10,0.004010462999985975
PWC,2047,11,0.004007948999969813
PWC,2047,12,0.004029119000051651
PWC,2047,13,0.00402209500009576
PWC,2047,14,0.004004963000056705
PWC,2047,15,0.004020421999939572
PWC,2047,16,0.0042485800000804375
PWC,2047,17,0.004249020999964159
PWC,2047,18,0.004137572000104228
PWC,2047,19,0.0040568809999967925
PWC,2047,20,0.004062501000021257
PWC,2047,21,0.004090363000045727
PWC,2047,22,0.004049486999974761
PWC,2047,23,0.00404526900001656
PWC,2047,24,0.004034558999933324
PWC,2047,25,0.004142331000025479
PWC,2047,26,0.00406414400003996
PWC,2047,27,0.0040541559999383026
PWC,2047,28,0.00403680199997325
PWC,2047,29,0.004042474000016227
PWC,4095,0,0.004910060999918642
PWC,4095,1,0.004362254000056964
PWC,4095,2,0.004341995999993742
PWC,4095,3,0.004290728999990279
PWC,4095,4,0.004306609000082062
PWC,4095,5,0.005881654000063463
PWC,4095,6,0.004918908000036026
PWC,4095,7,0.004293254000003799
PWC,4095,8,0.0043138629999930345
PWC,4095,9,0.0043038740000156395
PWC,4095,10,0.004292021999958706
PWC,4095,11,0.0043103149999979
PWC,4095,12,0.004294215999948392
PWC,4095,13,0.004303333000052589
PWC,4095,14,0.004314713999974629
PWC,4095,15,0.004358615999990434
PWC,4095,16,0.004352885999992395
PWC,4095,17,0.00436034999995627
PWC,4095,18,0.00431685799992465
PWC,4095,19,0.004294866999998703
PWC,4095,20,0.004308132000005571
PWC,4095,21,0.004306228000018564
PWC,4095,22,0.004320074000020213
PWC,4095,23,0.004300687999943875
PWC,4095,24,0.00430770200000552
PWC,4095,25,0.004299887000001945
PWC,4095,26,0.004331646000082401
PWC,4095,27,0.004303983999989214
PWC,4095,28,0.004306188999976257
PWC,4095,29,0.004402138000045852
PF,100,0,0.005919093999978031
PF,100,1,0.005719881000004534
PF,100,2,0.006569553999952404
PF,100,3,0.0154176539999753
PF,100,4,0.006057222999970691
PF,100,5,0.004522382999994079
PF,100,6,0.005003787000077864
PF,100,7,0.004014250000068387
PF,100,8,0.005907061000016256
PF,100,9,0.009489181999924767
PF,100,10,0.0050805199999786055
PF,100,11,0.004203514999971958
PF,100,12,0.009353306000093653
PF,100,13,0.004316908000078001
PF,100,14,0.004460648000076617
PF,100,15,0.01720612799999799
PF,100,16,0.00542218199996114
PF,100,17,0.005212457999959952
PF,100,18,0.004902426999933596
PF,100,19,0.004524146999983714
PF,100,20,0.012303682000037952
PF,100,21,0.00590560800003459
PF,100,22,0.006607604999999239
PF,100,23,0.007956626000009237
PF,100,24,0.004759617999980037
PF,100,25,0.006723793999981353
PF,100,26,0.004713933000061843
PF,100,27,0.007092405999969742
PF,100,28,0.012299213000005693
PF,100,29,0.004475925999940955
PF,300,0,0.014228271999968456
PF,300,1,0.013121444999910636
PF,300,2,0.011444910000022901
PF,300,3,0.009950146000051063
PF,300,4,0.013765883999894868
PF,300,5,0.009408248999989155
PF,300,6,0.008935723000035978
PF,300,7,0.009398431000022356
PF,300,8,0.007707959000072151
PF,300,9,0.029512875999898824
PF,300,10,0.010110496999914176
PF,300,11,0.008714438000083646
PF,300,12,0.008258081999997557
PF,300,13,0.027469001999975262
PF,300,14,0.009872269999959826
PF,300,15,0.04335412199998245
PF,300,16,0.013532847000078618
PF,300,17,0.016618045000086568
PF,300,18,0.03532896699994126
PF,300,19,0.006634114999997109
PF,300,20,0.011338389999991705
PF,300,21,0.021951850999926137
PF,300,22,0.01875259900009496
PF,300,23,0.0093378470000971
PF,300,24,0.022099097000022994
PF,300,25,0.006704017000060958
PF,300,26,0.013543798000000606
PF,300,27,0.009196693000035339
PF,300,28,0.024857222000036927
PF,300,29,0.008600063000017144
PF,1000,0,0.018610823000017263
PF,1000,1,0.02864607900005467
PF,1000,2,0.020500999000091724
PF,1000,3,0.04942358799996782
PF,1000,4,0.016457624999929976
PF,1000,5,0.020762128999990637
PF,1000,6,0.02305329700004677
PF,1000,7,0.016549546000078408
PF,1000,8,0.01557265400003871
PF,1000,9,0.024696909999988748
PF,1000,10,0.020625633000008747
PF,1000,11,0.020629269999972166
PF,1000,12,0.02264155499995013
PF,1000,13,0.022130195000045205
PF,1000,14,0.021314174000053754
PF,1000,15,0.021286683999960587
PF,1000,16,0.05473182599996562
PF,1000,17,0.04874048600004244
PF,1000,18,0.01994382299994868
PF,1000,19,0.05910245400002623
PF,1000,20,0.021031483999990996
PF,1000,21,0.02283430700003919
PF,1000,22,0.050015958000017235
PF,1000,23,0.016728461999946376
PF,1000,24,0.043809264999936204
PF,1000,25,0.025441928999953234
PF,1000,26,0.05970760999991853
PF,1000,27,0.05393407899998692
PF,1000,28,0.0567886640000097
PF,1000,29,0.02107693899995411
PF,3000,0,0.04005429100004676
PF,3000,1,0.10113180099995134
PF,3000,2,0.043918049000012616
PF,3000,3,0.0408080649999647
PF,3000,4,0.045671889999994164
PF,3000,5,0.10052972200003296
PF,3000,6,0.06429453500004456
PF,3000,7,0.038717522999945686
PF,3000,8,0.058635107999975844
PF,3000,9,0.045958938000012495
PF,3000,10,0.06935176299998602
PF,3000,11,0.08841120699992189
PF,3000,12,0.1012763820000373
PF,3000,13,0.056324603999996725
PF,3000,14,0.04658781699993142
PF,3000,15,0.0732382429999916
PF,3000,16,0.0627780500000199
PF,3000,17,0.07331168099995011
PF,3000,18,0.07436248200008322
PF,3000,19,0.05235063899999659
PF,3000,20,0.08514969899999869
PF,3000,21,0.06513092399995912
PF,3000,22,0.06533759199999167
PF,3000,23,0.07376033299999563
PF,3000,24,0.04445844399992893
PF,3000,25,0.06172329100002116
PF,3000,26,0.04639118900001904
PF,3000,27,0.04365261099997042
PF,3000,28,0.05715943999996398
PF,3000,29,0.0635825690000047
PF,10000,0,0.1056720580000956
PF,10000,1,0.10721147599997494
PF,10000,2,0.11729080500003874
PF,10000,3,0.1476512909999883
PF,10000,4,0.1311774160000141
PF,10000,5,0.1337378499999886
PF,10000,6,0.14944353300006696
PF,10000,7,0.18268293900007393
PF,10000,8,0.14415419099998417
PF,10000,9,0.15845955700001468
PF,10000,10,0.16037248500003898
PF,10000,11,0.1444425309999815
PF,10000,12,0.12009724900008223
PF,10000,13,0.11570705399992676
PF,10000,14,0.13316422400009742
PF,10000,15,0.12538496900003793
PF,10000,16,0.12411046900001566
PF,10000,17,0.14657778600007987
PF,10000,18,0.10028558400006204
PF,10000,19,0.11062842700005149
PF,10000,20,0.19379971900002602
PF,10000,21,0.14191575600000306
PF,10000,22,0.1305498000000398
PF,10000,23,0.18149447400003282
PF,10000,24,0.12621046900005695
PF,10000,25,0.11856284999998934
PF,10000,26,0.12422269900002902
PF,10000,27,0.15929231799998433
PF,10000,28,0.14152984099996502
PF,10000,29,0.18383564700002353
