method,parameter,repetition,runtime_s
FIGFAN,63,16,0.0014271579999558526
FIGFDN,63,16,0.0014271579999558526
FIGFAN,63,17,0.001469477000000552
FIGFDN,63,17,0.001469477000000552
FIGFAN,63,18,0.001418781999973362
FIGFDN,63,18,0.001418781999973362
FIGFAN,63,19,0.0014674330000161717
FIGFDN,63,19,0.0014674330000161717
FIGFAN,63,20,0.0014401109999653272
FIGFDN,63,20,0.0014401109999653272
FIGFAN,63,21,0.0014843950000340556
FIGFDN,63,21,0.0014843950000340556
FIGFAN,63,22,0.0014354730000150084
FIGFDN,63,22,0.0014354730000150084
FIGFAN,63,23,0.001458775999935824
FIGFDN,63,23,0.001458775999935824
FIGFAN,63,24,0.0014350120000017341
FIGFDN,63,24,0.0014350120000017341
FIGFAN,63,25,0.0014734640000142463
FIGFDN,63,25,0.0014734640000142463
FIGFAN,63,26,0.0014719419999664751
FIGFDN,63,26,0.0014719419999664751
FIGFAN,63,27,0.0014312450000488752
FIGFDN,63,27,0.0014312450000488752
FIGFAN,63,28,0.0014719220000642963
FIGFDN,63,28,0.0014719220000642963
FIGFAN,63,29,0.0014282790000379464
FIGFDN,63,29,0.0014282790000379464
FIGFAN,127,0,0.0018158870000206662
FIGFDN,127,0,0.0018158870000206662
FIGFAN,127,1,0.0017428900000595604
FIGFDN,127,1,0.0017428900000595604
FIGFAN,127,2,0.0017634880000514386
FIGFDN,127,2,0.0017634880000514386
FIGFAN,127,3,0.001769029000001865
FIGFDN,127,3,0.001769029000001865
FIGFAN,127,4,0.001753649999955087
FIGFDN,127,4,0.001753649999955087
FIGFAN,127,5,0.001729886000020997
FIGFDN,127,5,0.001729886000020997
FIGFAN,127,6,0.0017577070000243111
FIGFDN,127,6,0.0017577070000243111
FIGFAN,127,7,0.0017634979999456846
FIGFDN,127,7,0.0017634979999456846
FIGFAN,127,8,0.0017624460000433828
FIGFDN,127,8,0.0017624460000433828
FIGFAN,127,9,0.0017438720000200192
FIGFDN,127,9,0.0017438720000200192
FIGFAN,127,10,0.0017657619999909002
FIGFDN,127,10,0.0017657619999909002
FIGFAN,127,11,0.0017616549999956987
FIGFDN,127,11,0.0017616549999956987
FIGFAN,127,12,0.0017536990000053265
FIGFDN,127,12,0.0017536990000053265
FIGFAN,127,13,0.00173505500004012
FIGFDN,127,13,0.00173505500004012
FIGFAN,127,14,0.0017582880000190926
FIGFDN,127,14,0.0017582880000190926
FIGFAN,127,15,0.0018003169999474267
FIGFDN,127,15,0.0018003169999474267
FIGFAN,127,16,0.0017606029999797101
FIGFDN,127,16,0.0017606029999797101
FIGFAN,127,17,0.0017514559999654011
FIGFDN,127,17,0.0017514559999654011
FIGFAN,127,18,0.0017441620000226976
FIGFDN,127,18,0.0017441620000226976
FIGFAN,127,19,0.001764670999932605
FIGFDN,127,19,0.001764670999932605
FIGFAN,127,20,0.0017713029999413266
FIGFDN,127,20,0.0017713029999413266
FIGFAN,127,21,0.0017591999999240215
FIGFDN,127,21,0.0017591999999240215
FIGFAN,127,22,0.001735285999984626
FIGFDN,127,22,0.001735285999984626
FIGFAN,127,23,0.0019024790000230496
FIGFDN,127,23,0.0019024790000230496
FIGFAN,127,24,0.0017784970000320754
FIGFDN,127,24,0.0017784970000320754
FIGFAN,127,25,0.002053882000041085
FIGFDN,127,25,0.002053882000041085
FIGFAN,127,26,0.0017700610000019878
FIGFDN,127,26,0.0017700610000019878
FIGFAN,127,27,0.0017617150000432957
FIGFDN,127,27,0.0017617150000432957
FIGFAN,127,28,0.0017375099999981103
FIGFDN,127,28,0.0017375099999981103
FIGFAN,127,29,0.001774188000013055
FIGFDN,127,29,0.001774188000013055
FIGFAN,255,0,0.0017210080000040762
FIGFDN,255,0,0.0017210080000040762
FIGFAN,255,1,0.002357652999990023
FIGFDN,255,1,0.002357652999990023
FIGFAN,255,2,0.002295026000069811
FIGFDN,255,2,0.002295026000069811
FIGFAN,255,3,0.0023479249999809326
FIGFDN,255,3,0.0023479249999809326
FIGFAN,255,4,0.0020820459999413288
FIGFDN,255,4,0.0020820459999413288
FIGFAN,255,5,0.0016930470000033893
FIGFDN,255,5,0.0016930470000033893
FIGFAN,255,6,0.0017579469999873254
FIGFDN,255,6,0.0017579469999873254
FIGFAN,255,7,0.001744331999930182
FIGFDN,255,7,0.001744331999930182
FIGFAN,255,8,0.0016756740000118953
FIGFDN,255,8,0.0016756740000118953
FIGFAN,255,9,0.0016830980000577256
FIGFDN,255,9,0.0016830980000577256
FIGFAN,255,10,0.0016837580000128582
FIGFDN,255,10,0.0016837580000128582
FIGFAN,255,11,0.001650746999985131
FIGFDN,255,11,0.001650746999985131
FIGFAN,255,12,0.0016894189999447917
FIGFDN,255,12,0.0016894189999447917
FIGFAN,255,13,0.0016757340000594922
FIGFDN,255,13,0.0016757340000594922
FIGFAN,255,14,0.0016460890000189465
FIGFDN,255,14,0.0016460890000189465
FIGFAN,255,15,0.0016842190000261326
FIGFDN,255,15,0.0016842190000261326
FIGFAN,255,16,0.001694468999971832
FIGFDN,255,16,0.001694468999971832
FIGFAN,255,17,0.0017593100000112827
FIGFDN,255,17,0.0017593100000112827
FIGFAN,255,18,0.0016603640000312225
FIGFDN,255,18,0.0016603640000312225
FIGFAN,255,19,0.0016754229999378367
FIGFDN,255,19,0.0016754229999378367
FIGFAN,255,20,0.0016751520000752862
FIGFDN,255,20,0.0016751520000752862
FIGFAN,255,21,0.0016499660000590666
FIGFDN,255,21,0.0016499660000590666
FIGFAN,255,22,0.0017850389999694016
FIGFDN,255,22,0.0017850389999694016
FIGFAN,255,23,0.0016891090000399345
FIGFDN,255,23,0.0016891090000399345
FIGFAN,255,24,0.0016519790000302237
FIGFDN,255,24,0.0016519790000302237
FIGFAN,255,25,0.0016825069999413245
FIGFDN,255,25,0.0016825069999413245
FIGFAN,255,26,0.0016814649999332687
FIGFDN,255,26,0.0016814649999332687
FIGFAN,255,27,0.0016449560000637575
FIGFDN,255,27,0.0016449560000637575
FIGFAN,255,28,0.0017264880000311678
FIGFDN,255,28,0.0017264880000311678
FIGFAN,255,29,0.0016881980000107433
FIGFDN,255,29,0.0016881980000107433
FIGFAN,511,0,0.0022651299999552066
FIGFDN,511,0,0.0022651299999552066
FIGFAN,511,1,0.002268465000042852
FIGFDN,511,1,0.002268465000042852
FIGFAN,511,2,0.002280238000025747
FIGFDN,511,2,0.002280238000025747
FIGFAN,511,3,0.002225815999963743
FIGFDN,511,3,0.002225815999963743
FIGFAN,511,4,0.002189217000022836
FIGFDN,511,4,0.002189217000022836
FIGFAN,511,5,0.002199735999965924
FIGFDN,511,5,0.002199735999965924
FIGFAN,511,6,0.002196350999952301
FIGFDN,511,6,0.002196350999952301
FIGFAN,511,7,0.0021963000000368993
FIGFDN,511,7,0.0021963000000368993
FIGFAN,511,8,0.0021989549999261726
FIGFDN,511,8,0.0021989549999261726
FIGFAN,511,9,0.002186160999940512
FIGFDN,511,9,0.002186160999940512
FIGFAN,511,10,0.0021892569999408806
FIGFDN,511,10,0.0021892569999408806
FIGFAN,511,11,0.002381818000003477
FIGFDN,511,11,0.002381818000003477
FIGFAN,511,12,0.0024870959999816478
FIGFDN,511,12,0.0024870959999816478
FIGFAN,511,13,0.002197383000066111
FIGFDN,511,13,0.002197383000066111
FIGFAN,511,14,0.002184919000001173
FIGFDN,511,14,0.002184919000001173
FIGFAN,511,15,0.0021695199999385295
FIGFDN,511,15,0.0021695199999385295
FIGFAN,511,16,0.0021872030000622544
FIGFDN,511,16,0.0021872030000622544
FIGFAN,511,17,0.0021760429999631015
FIGFDN,511,17,0.0021760429999631015
FIGFAN,511,18,0.0021792180000375083
FIGFDN,511,18,0.0021792180000375083
FIGFAN,511,19,0.0021807709999848157
FIGFDN,511,19,0.0021807709999848157
FIGFAN,511,20,0.0022012900000163427
FIGFDN,511,20,0.0022012900000163427
FIGFAN,511,21,0.0021983340000133467
FIGFDN,511,21,0.0021983340000133467
FIGFAN,511,22,0.0022127410001075987
FIGFDN,511,22,0.0022127410001075987
FIGFAN,511,23,0.0021727260000261595
FIGFDN,511,23,0.0021727260000261595
FIGFAN,511,24,0.0021633789999668807
FIGFDN,511,24,0.0021633789999668807
FIGFAN,511,25,0.002166805000001659
FIGFDN,511,25,0.002166805000001659
FIGFAN,511,26,0.002166333999980452
FIGFDN,511,26,0.002166333999980452
FIGFAN,511,27,0.002264888000013343
FIGFDN,511,27,0.002264888000013343
FIGFAN,511,28,0.002178177000018877
FIGFDN,511,28,0.002178177000018877
FIGFAN,511,29,0.0021697509999967224
FIGFDN,511,29,0.0021697509999967224
FIGFAN,1023,0,0.0025382720000379777
FIGFDN,1023,0,0.0025382720000379777
FIGFAN,1023,1,0.0024581110000099216
FIGFDN,1023,1,0.0024581110000099216
FIGFAN,1023,2,0.0024497460000247884
FIGFDN,1023,2,0.0024497460000247884
FIGFAN,1023,3,0.0024783589999515243
FIGFDN,1023,3,0.0024783589999515243
FIGFAN,1023,4,0.0024449669999739854
