horizon,n_trials,n_time_steps,filter_mae_rad,smoother_mae_rad,reduction_percent,reduction_ci_low_percent,reduction_ci_high_percent
all,500,19,0.29729433864255206,0.1921700633147927,35.36033541969131,32.56318862023946,38.01716147281344
early,500,10,0.34125330955084726,0.1948513985766202,42.90124282367229,39.282587687531255,46.455417230600176
late,500,9,0.2484510376333353,0.18919080191276208,23.851876927167282,20.239698971296153,27.480541289681224
