n runtime_mean_ms runtime_median_ms runtime_q25_ms runtime_q75_ms runtime_err_low_ms runtime_err_high_ms mean_error l1_error
15 0.683371039728 0.650912290439 0.646553002298 0.657133758068 0.00435928814113 0.00622146762908 0.000370579424086 0.00225405113562
31 0.516448868439 0.503869960085 0.500026741065 0.507783493958 0.00384321901947 0.00391353387386 0.000370427075984 0.000113666714763
63 0.481139076874 0.471672043204 0.454831053503 0.486213364638 0.0168409897014 0.0145413214341 0.000370427352211 0.000109728951371
127 0.605040524776 0.592469004914 0.587762333453 0.601612497121 0.00470667146146 0.00914349220693 0.000370427352212 0.000109729327056
255 0.543399030964 0.541481887922 0.537180691026 0.54362101946 0.00430119689554 0.00213913153857 0.000370427352212 0.000109729327062
511 0.796192294608 0.793501967564 0.791039085016 0.795765896328 0.00246288254857 0.00226392876357 0.000370427352212 0.000109729327062
1023 0.944454145307 0.939011573792 0.937302131206 0.94189576339 0.00170944258571 0.00288418959826 0.000370427352212 0.000109729327062
2047 2.22185081802 2.22348445095 2.20067286864 2.23435135558 0.022811582312 0.0108669046313 0.000370427352212 0.000109729327062
4095 2.51791536187 2.51899007708 2.4787990842 2.52962880768 0.0401909928769 0.0106387306005 0.000370427352212 0.000109729327062
