method,parameter,repetition,runtime_s,mean_error_rad,max_mean_error_rad,l1_error,max_l1_error,min_evaluated_density,max_normalization_error
FIGFAN,15,6,0.0014320459999908053,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,6,0.0014320459999908053,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,7,0.0014501100000643419,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,7,0.0014501100000643419,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,8,0.0014425560000290716,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,8,0.0014425560000290716,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,9,0.0014152660000945616,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,9,0.0014152660000945616,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,10,0.0014451819999976578,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,10,0.0014451819999976578,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,11,0.0014188510000394672,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,11,0.0014188510000394672,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,12,0.0014524650000566908,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,12,0.0014524650000566908,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,13,0.0014081420000593425,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,13,0.0014081420000593425,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,14,0.001427378000016688,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,14,0.001427378000016688,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,15,0.0015809559999979683,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,15,0.0015809559999979683,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,16,0.0014405120000446914,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,16,0.0014405120000446914,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,17,0.001418781999973362,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,17,0.001418781999973362,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,18,0.0014002259999870148,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,18,0.0014002259999870148,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,19,0.0028411999999207183,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,19,0.0028411999999207183,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,20,0.003169886999899063,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,20,0.003169886999899063,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
